Time,Time Code,Country Name,Country Code,GDP per person employed (constant 2011 PPP $) [SL.GDP.PCAP.EM.KD],"Population, total [SP.POP.TOTL]","Life expectancy at birth, total (years) [SP.DYN.LE00.IN]"
2016,YR2016,Afghanistan,AFG,6275.91015625,34656032,63.673
2016,YR2016,Albania,ALB,28602.626953125,2876101,78.345
2016,YR2016,Algeria,DZA,52936.99609375,40606052,76.078
2016,YR2016,American Samoa,ASM,..,55599,..
2016,YR2016,Andorra,AND,..,77281,..
2016,YR2016,Angola,AGO,15748.9326171875,28813463,61.547
2016,YR2016,Antigua and Barbuda,ATG,..,100963,76.364
2016,YR2016,Argentina,ARG,45039.30859375,43847430,76.577
2016,YR2016,Armenia,ARM,20792.01171875,2924816,74.618
2016,YR2016,Aruba,ABW,..,104822,75.867
2016,YR2016,Australia,AUS,89515.015625,24210809,82.5
2016,YR2016,Austria,AUT,90842.6328125,8736668,80.890243902439
2016,YR2016,Azerbaijan,AZE,33202.32421875,9757812,72.026
2016,YR2016,"Bahamas, The",BHS,40888.51171875,391232,75.675
2016,YR2016,Bahrain,BHR,78168.9765625,1425171,76.9
2016,YR2016,Bangladesh,BGD,8648.796875,162951560,72.489
2016,YR2016,Barbados,BRB,32233.48828125,284996,75.906
2016,YR2016,Belarus,BLR,31432.259765625,9501534,73.8268292682927
2016,YR2016,Belgium,BEL,102947.125,11331422,80.9926829268293
2016,YR2016,Belize,BLZ,18710.27734375,366954,70.384
2016,YR2016,Benin,BEN,5103.6162109375,10872298,60.907
2016,YR2016,Bermuda,BMU,..,65341,81.2270731707317
2016,YR2016,Bhutan,BTN,17080.51171875,797765,70.197
2016,YR2016,Bolivia,BOL,15114.5263671875,10887882,69.125
2016,YR2016,Bosnia and Herzegovina,BIH,37218.0234375,3516816,76.911
2016,YR2016,Botswana,BWA,38228.7265625,2250260,66.797
2016,YR2016,Brazil,BRA,31919.783203125,207652865,75.509
2016,YR2016,British Virgin Islands,VGB,..,30661,..
2016,YR2016,Brunei Darussalam,BRN,149431.265625,423196,77.203
2016,YR2016,Bulgaria,BGR,41701.57421875,7127822,74.6146341463415
2016,YR2016,Burkina Faso,BFA,4685.375,18646433,60.361
2016,YR2016,Burundi,BDI,1685.69494628906,10524117,57.481
2016,YR2016,Cabo Verde,CPV,16226.1865234375,539560,72.798
2016,YR2016,Cambodia,KHM,5992.15087890625,15762370,68.981
2016,YR2016,Cameroon,CMR,7313.72021484375,23439189,58.073
2016,YR2016,Canada,CAN,84310.8125,36264604,82.300512195122
2016,YR2016,Cayman Islands,CYM,..,60765,..
2016,YR2016,Central African Republic,CAF,1719.71594238281,4594621,52.171
2016,YR2016,Chad,TCD,5220.35693359375,14452543,52.903
2016,YR2016,Channel Islands,CHI,75127.828125,164541,81.107
2016,YR2016,Chile,CHL,49319.8203125,17909754,79.522
2016,YR2016,China,CHN,26001.603515625,1378665000,76.252
2016,YR2016,Colombia,COL,26775.875,48653419,74.381
2016,YR2016,Comoros,COM,5723.19921875,795601,63.701
2016,YR2016,"Congo, Dem. Rep.",COD,1983.07995605469,78736153,59.621
2016,YR2016,"Congo, Rep.",COG,14631.427734375,5125821,64.625
2016,YR2016,Costa Rica,CRI,36483.3046875,4857274,79.831
2016,YR2016,Cote d'Ivoire,CIV,10746.353515625,23695919,53.582
2016,YR2016,Croatia,HRV,55527.53125,4174349,78.0219512195122
2016,YR2016,Cuba,CUB,..,11475982,79.742
2016,YR2016,Curacao,CUW,..,159663,77.8731707317073
2016,YR2016,Cyprus,CYP,49752.16015625,1170125,80.508
2016,YR2016,Czech Republic,CZE,63150.76953125,10566332,78.3317073170732
2016,YR2016,Denmark,DNK,92536.8203125,5728010,80.7048780487805
2016,YR2016,Djibouti,DJI,8696.5537109375,942333,62.465
2016,YR2016,Dominica,DMA,..,73543,..
2016,YR2016,Dominican Republic,DOM,32358.15234375,10648791,73.861
2016,YR2016,Ecuador,ECU,22455.099609375,16385068,76.327
2016,YR2016,"Egypt, Arab Rep.",EGY,36999.76953125,95688681,71.484
2016,YR2016,El Salvador,SLV,18943.484375,6344722,73.512
2016,YR2016,Equatorial Guinea,GNQ,67207.328125,1221490,57.681
2016,YR2016,Eritrea,ERI,3910.48388671875,..,65.092
2016,YR2016,Estonia,EST,56561.30859375,1315790,77.7365853658537
2016,YR2016,Eswatini,SWZ,29584.236328125,1343098,57.754
2016,YR2016,Ethiopia,ETH,3488.81005859375,102403196,65.475
2016,YR2016,Faroe Islands,FRO,..,49117,82.2414634146342
2016,YR2016,Fiji,FJI,22226.19921875,898760,70.269
2016,YR2016,Finland,FIN,88288.6484375,5495303,81.7804878048781
2016,YR2016,France,FRA,93749.7734375,66859768,82.2731707317073
2016,YR2016,French Polynesia,PYF,106922.9609375,280208,76.813
2016,YR2016,Gabon,GAB,63810.90625,1979786,66.105
2016,YR2016,"Gambia, The",GMB,5357.02978515625,2038501,61.193
2016,YR2016,Georgia,GEO,18189.16015625,3719300,73.261
2016,YR2016,Germany,DEU,88234.5,82348669,80.6414634146341
2016,YR2016,Ghana,GHA,8638.4853515625,28206728,62.742
2016,YR2016,Gibraltar,GIB,..,34408,..
2016,YR2016,Greece,GRC,66972.4765625,10775971,81.0365853658537
2016,YR2016,Greenland,GRL,..,56186,..
2016,YR2016,Grenada,GRD,..,107317,73.659
2016,YR2016,Guam,GUM,75151.234375,162896,79.575
2016,YR2016,Guatemala,GTM,19010.3671875,16582469,73.409
2016,YR2016,Guinea,GIN,3443.80297851563,12395924,60.015
2016,YR2016,Guinea-Bissau,GNB,3754.86401367188,1815698,57.403
2016,YR2016,Guyana,GUY,20198.443359375,773303,66.65
2016,YR2016,Haiti,HTI,4244.72705078125,10847334,63.33
2016,YR2016,Honduras,HND,9988.9599609375,9112867,73.575
2016,YR2016,"Hong Kong SAR, China",HKG,104957.6484375,7336600,84.2268292682927
2016,YR2016,Hungary,HUN,56390.05078125,9814023,75.5682926829269
2016,YR2016,Iceland,ISL,75598.8203125,335439,82.4682926829268
2016,YR2016,India,IND,16306.7646484375,1324171354,68.56
2016,YR2016,Indonesia,IDN,23380.791015625,261115456,69.191
